id,type,gender,skin_tone,count,accessories
0058,human,male,medium,2,normal beard black/hoodie
0059,human,male,albino,2,muttonchops/cowboy hat
0060,human,female,light,2,stringy hair/purple lipstick
0061,human,female,light,1,dark hair
0062,human,female,dark,4,hot lipstick/earring/mohawk dark/clown eyes blue
0063,human,male,dark,3,earring/shaved head/small shades
0064,human,female,medium,2,straight hair blonde/purple lipstick
0065,human,female,medium,2,eye mask/headband
0066,human,female,dark,1,tassle hat
0067,human,female,dark,3,half shaved/purple lipstick/3d glasses
0068,human,male,dark,2,nerd glasses/do-rag
0069,human,male,medium,2,normal beard black/fedora
0070,human,female,medium,4,crazy hair/regular shades/earring/cigarette
0071,human,female,light,3,green eye shadow/half shaved/purple lipstick
0072,human,male,dark,4,fedora/earring/nerd glasses/normal beard
0073,human,female,medium,3,black lipstick/bandana/earring
0074,human,male,dark,3,shadow beard/earring/mohawk dark
0075,human,male,light,3,shadow beard/knitted cap/eye patch
0076,human,male,light,2,cigarette/do-rag
0077,human,male,dark,2,stringy hair/handlebars
0078,human,male,medium,3,handlebars/knitted cap/eye patch
0079,human,male,dark,2,normal beard/mohawk dark
0080,human,male,albino,2,wild hair/mustache
0081,human,male,light,2,headband/small shades
0082,human,male,albino,1,headband
0083,human,male,light,3,vape/shaved head/small shades
0084,human,male,light,3,messy hair/big shades/earring
0085,human,female,dark,1,crazy hair
0086,human,female,dark,4,knitted cap/green eye shadow/hot lipstick/earring
0087,human,male,light,2,hoodie/earring
0088,human,female,light,2,cap/hot lipstick
0089,human,female,dark,1,choker
0090,human,male,medium,2,hoodie/eye patch
0091,human,female,light,2,clown nose/straight hair
0092,human,female,light,3,pink with hat/purple lipstick/nerd glasses
0093,human,female,light,1,bandana
0094,human,female,dark,3,pink with hat/regular shades/earring
0095,human,male,medium,2,earring/mohawk
0096,human,female,light,1,blonde bob
0097,human,male,medium,1,wild hair
0098,human,female,light,3,black lipstick/welding goggles/dark hair
0099,human,male,medium,2,cigarette/hoodie
0100,human,female,medium,1,tassle hat
0101,human,male,medium,2,police cap/nerd glasses
0102,human,male,medium,2,vampire hair/luxurious beard
0103,human,female,dark,3,black lipstick/green eye shadow/blonde bob
0104,human,male,dark,4,normal beard black/earring/crazy hair/eye patch
0105,human,male,light,1,mohawk thin
0106,human,female,light,1,straight hair blonde
0107,human,male,medium,1,headband
0108,human,female,light,2,black lipstick/headband
0109,human,male,dark,3,handlebars/fedora/earring
0110,human,female,dark,4,purple lipstick/earring/mohawk dark/cigarette
0111,human,male,dark,2,handlebars/knitted cap
0112,human,male,medium,4,bandana/earring/horned rim glasses/big beard
0113,human,male,albino,1,mohawk
0114,human,female,dark,1,red mohawk
0115,human,female,dark,2,half shaved/earring
0116,human,female,dark,4,black lipstick/tiara/earring/clown eyes blue
0117,zombie,male,,2,messy hair/front beard dark
0118,human,female,light,2,black lipstick/bandana
0119,human,male,medium,2,cap/earring
0120,human,female,medium,2,tassle hat/big shades
0121,human,female,light,2,tiara/purple lipstick
0122,human,male,light,2,cigarette/mohawk
0123,human,female,medium,2,wild white hair/spots
0124,human,male,medium,3,normal beard black/peak spike/earring
0125,human,female,light,3,tassle hat/big shades/purple lipstick
0126,human,male,albino,4,cigarette/earring/headband/eye patch
0127,human,female,medium,2,clown eyes green/stringy hair
0128,human,male,light,4,police cap/chinstrap/vape/mole
0129,human,male,light,4,cigarette/cap forward/gold chain/horned rim glasses
0130,human,male,light,1,mohawk
0131,human,female,medium,2,hot lipstick/straight hair dark
0132,human,male,dark,1,mohawk thin
0133,human,male,albino,3,chinstrap/purple hair/pipe
0134,human,male,medium,1,police cap
0135,human,male,light,1,cap forward
0136,human,male,dark,3,shadow beard/shaved head/clown eyes green
0137,human,male,dark,1,messy hair
0138,human,male,light,2,stringy hair/horned rim glasses
0139,human,male,medium,2,do-rag/eye patch
0140,human,female,dark,1,hot lipstick
0141,human,male,dark,3,chinstrap/headband/3d glasses
0142,human,male,light,2,mohawk/regular shades
0143,human,male,light,2,beanie/horned rim glasses
0144,human,male,dark,3,cigarette/frumpy hair/luxurious beard
0145,human,male,light,1,wild hair
0146,human,male,light,2,earring/mohawk
0147,human,male,albino,2,mohawk thin/regular shades
0148,human,male,medium,1,hoodie
0149,human,male,light,3,messy hair/luxurious beard/big shades
0150,human,female,medium,2,purple lipstick/earring
0151,human,male,medium,2,stringy hair/vr
0152,human,male,light,2,clown eyes green/mohawk dark
0153,human,male,medium,3,eye mask/cap/earring
0154,human,male,dark,3,hoodie/shadow beard/earring
0155,human,male,dark,2,clown nose/clown hair green
0156,human,male,dark,2,cap forward/small shades
0157,human,male,medium,2,cigarette/cap
0158,human,male,light,3,wild hair/goat/regular shades
0159,human,male,light,2,stringy hair/earring
0160,human,female,medium,3,pigtails/purple lipstick/clown eyes blue
0161,human,female,dark,2,hot lipstick/frumpy hair
0162,human,male,medium,3,frumpy hair/normal beard black/horned rim glasses
0163,human,male,dark,2,shaved head/eye patch
0164,human,female,medium,2,stringy hair/vr
0165,human,male,medium,3,cigarette/front beard dark/mohawk dark
0166,human,male,dark,2,shaved head/regular shades
0167,human,female,medium,2,headband/hot lipstick
0168,human,female,light,3,blue eye shadow/silver chain/blonde bob
0169,human,female,medium,3,wild white hair/hot lipstick/regular shades
0170,human,male,light,3,peak spike/classic shades/mole
0171,human,male,medium,3,stringy hair/earring/mole
0172,human,female,medium,3,purple lipstick/blonde bob/3d glasses
0173,human,female,dark,5,mole/pipe/messy hair/hot lipstick/clown eyes blue
0174,human,male,dark,3,wild hair/earring/horned rim glasses
0175,human,male,medium,2,cap/big shades
0176,human,female,dark,4,regular shades/wild hair/purple lipstick/earring
0177,human,male,dark,2,bandana/luxurious beard
0178,human,male,medium,1,fedora
0179,human,male,albino,3,mohawk thin/shadow beard/classic shades
0180,human,female,dark,2,pilot helmet/hot lipstick
0181,human,male,dark,1,mohawk
0182,human,male,albino,1,peak spike
0183,human,male,light,1,shadow beard
0184,human,female,dark,2,green eye shadow/blonde bob
0185,human,female,light,2,wild white hair/hot lipstick
0186,human,male,dark,2,mustache/crazy hair
0187,human,female,light,1,straight hair
0188,human,male,dark,3,peak spike/earring/nerd glasses
0189,human,female,light,2,mohawk thin/purple lipstick
0190,human,male,dark,1,headband
0191,human,female,dark,1,mohawk
0192,human,male,medium,4,clown nose/mohawk thin/earring/nerd glasses
0193,human,female,light,3,tassle hat/green eye shadow/earring
0194,human,male,light,2,wild hair/clown eyes green
0195,human,female,light,2,straight hair blonde/nerd glasses
0196,human,female,light,3,tassle hat/big shades/hot lipstick
0197,human,male,dark,2,frumpy hair/eye patch
0198,human,male,medium,2,beanie/luxurious beard
0199,human,female,light,2,blonde short/classic shades
0200,human,female,dark,1,wild hair
0201,human,female,medium,4,blue eye shadow/hot lipstick/dark hair/cigarette
0202,human,female,light,3,headband/purple lipstick/earring
0203,human,male,light,3,front beard/messy hair/regular shades
0204,human,male,medium,2,crazy hair/regular shades
0205,human,male,medium,3,normal beard black/big shades/mohawk dark
0206,human,male,light,3,cigarette/clown nose/cap forward
0207,human,male,light,3,peak spike/pipe/eye patch
0208,human,male,medium,3,earring/shaved head/3d glasses
0209,human,female,dark,2,hot lipstick/stringy hair
0210,human,female,medium,2,earring/straight hair dark
0211,human,male,dark,2,mohawk thin/goat
0212,human,female,dark,2,crazy hair/hot lipstick
0213,human,female,medium,1,crazy hair
0214,human,male,dark,2,front beard dark/mohawk
0215,human,female,medium,1,mohawk
0216,human,male,medium,1,bandana
0217,human,male,medium,3,chinstrap/earring/mohawk dark
0218,human,male,light,4,cap/handlebars/regular shades/mole
0219,human,female,dark,4,bandana/rosy cheeks/earring/clown eyes blue
0220,human,male,albino,2,big shades/headband
0221,human,male,dark,4,stringy hair/cigarette/muttonchops/classic shades
0222,human,male,light,3,pipe/do-rag/small shades
0223,human,male,light,3,nerd glasses/normal beard/crazy hair
0224,human,male,light,4,cigarette/earring/nerd glasses/headband
0225,human,female,medium,3,orange side/hot lipstick/earring
0226,human,female,medium,1,hot lipstick
0227,human,female,medium,1,wild white hair
0228,human,male,medium,2,peak spike/small shades
0229,human,male,light,2,cigarette/messy hair
0230,human,male,dark,2,luxurious beard/knitted cap
0231,human,female,medium,3,pipe/stringy hair/earring
0232,human,female,dark,2,blue eye shadow/wild hair
0233,human,female,albino,2,bandana/hot lipstick
0234,human,male,light,2,nerd glasses/knitted cap
0235,human,male,light,2,cigarette/frumpy hair
0236,human,male,light,2,vampire hair/muttonchops
0237,human,male,dark,2,mohawk/regular shades
0238,human,female,medium,2,clown eyes green/straight hair dark
0239,human,male,dark,3,frown/goat/mohawk
0240,human,female,medium,2,big shades/straight hair blonde
0241,human,female,light,1,wild blonde
0242,human,female,dark,2,black lipstick/stringy hair
0243,human,male,light,4,cigarette/front beard/police cap/earring
0244,human,female,light,3,regular shades/wild hair/purple lipstick
0245,human,female,dark,1,dark hair
0246,human,male,albino,3,bandana/luxurious beard/earring
0247,human,female,dark,2,green eye shadow/mohawk dark
0248,human,female,dark,2,messy hair/purple eye shadow
0249,human,female,light,1,orange side
0250,human,female,medium,3,clown eyes green/frumpy hair/earring
0251,human,female,light,2,green eye shadow/mohawk dark
0252,human,male,albino,2,cap forward/mole
0253,human,female,dark,2,clown eyes green/blonde short
0254,human,male,light,1,fedora
0255,human,male,light,2,mustache/shaved head
0256,human,male,dark,4,fedora/vape/earring/eye patch
0257,human,male,light,2,cap/frown
0258,human,male,medium,2,cap forward/handlebars
0259,human,male,light,3,eye mask/cap forward/earring
0260,human,male,dark,2,purple hair/3d glasses
0261,human,female,dark,2,wild white hair/black lipstick
0262,human,female,dark,2,blonde short/regular shades
0263,human,male,albino,2,messy hair/muttonchops
0264,human,female,albino,2,wild white hair/earring
0265,human,male,dark,3,cap forward/gold chain/earring
0266,human,male,dark,3,earring/do-rag/small shades
0267,human,male,dark,2,clown nose/fedora
0268,human,female,light,1,knitted cap
0269,human,male,dark,4,luxurious beard/hoodie/earring/small shades
0270,human,female,medium,2,red mohawk/clown eyes blue
0271,human,male,medium,1,stringy hair
0272,human,male,medium,2,messy hair/buck teeth
0273,human,male,light,2,cap forward/big shades
0274,human,male,light,4,cap/handlebars/earring/regular shades
0275,human,female,medium,3,purple eye shadow/stringy hair/purple lipstick
0276,human,female,light,1,crazy hair
0277,human,female,light,1,red mohawk
0278,human,female,albino,2,black lipstick/straight hair dark
0279,human,female,medium,3,blue eye shadow/straight hair blonde/purple lipstick
0280,human,male,albino,1,earring
0281,human,male,light,0,none
0282,human,female,albino,2,classic shades/straight hair dark
0283,human,female,light,2,hot lipstick/frumpy hair
0284,human,male,albino,1,mohawk thin
0285,human,female,light,2,dark hair/purple lipstick
0286,human,male,albino,2,wild hair/goat
0287,human,female,albino,3,mohawk/purple eye shadow/cigarette
0288,human,male,albino,1,shaved head
0289,human,female,medium,2,mohawk thin/eye patch
0290,human,female,medium,1,wild blonde
0291,human,male,medium,2,mohawk thin/earring
0292,human,female,light,2,tassle hat/black lipstick
0293,human,male,light,2,handlebars/mohawk dark
0294,human,male,dark,3,hoodie/big shades/earring
0295,human,male,medium,2,frown/shaved head
0296,human,male,medium,1,mohawk thin
0297,human,male,medium,2,muttonchops/crazy hair
0298,human,female,light,1,half shaved
0299,human,male,dark,2,muttonchops/do-rag
0300,human,male,light,2,goat/headband
0301,human,female,albino,3,red mohawk/green eye shadow/hot lipstick
0302,human,female,medium,3,blue eye shadow/bandana/purple lipstick
0303,human,female,dark,2,red mohawk/purple lipstick
0304,human,male,medium,2,peak spike/shadow beard
0305,human,female,albino,3,vr/purple lipstick/blonde bob
0306,human,female,light,2,vape/wild hair
0307,human,male,medium,2,frumpy hair/chinstrap
0308,human,male,light,3,messy hair/horned rim glasses/mole
0309,human,male,medium,2,big shades/shaved head
0310,human,male,dark,4,bandana/vape/classic shades/earring
0311,human,male,light,2,front beard/frumpy hair
0312,human,male,light,2,cap forward/chinstrap
0313,human,female,light,2,purple lipstick/mohawk dark
0314,human,male,albino,2,eye mask/police cap
0315,human,female,medium,3,wild white hair/black lipstick/cigarette
0316,human,female,dark,1,bandana
0317,human,male,medium,3,bandana/frown/chinstrap
0318,human,female,albino,3,bandana/hot lipstick/cigarette
0319,human,female,light,2,earring/straight hair dark
0320,human,male,dark,1,stringy hair
0321,human,male,medium,1,peak spike
0322,human,female,medium,3,black lipstick/pink with hat/clown eyes green
0323,human,male,dark,1,mohawk dark
0324,human,female,albino,3,hot lipstick/earring/blonde bob
0325,human,male,dark,3,police cap/mustache/small shades
0326,human,female,dark,3,wild white hair/hot lipstick/earring
0327,human,male,albino,1,crazy hair
0328,human,male,light,2,bandana/horned rim glasses
0329,human,female,medium,2,bandana/eye patch
0330,human,male,medium,2,knitted cap/clown eyes green
0331,human,female,albino,3,tassle hat/purple lipstick/earring
0332,human,male,dark,2,stringy hair/horned rim glasses
0333,human,female,light,3,purple eye shadow/straight hair blonde/purple lipstick
0334,human,male,dark,2,wild hair/big beard
0335,human,male,medium,1,clown hair green
0336,human,male,medium,3,nerd glasses/normal beard/top hat
0337,human,male,medium,1,frumpy hair
0338,human,male,light,2,messy hair/small shades
0339,human,female,albino,5,mole/cap/big shades/black lipstick/earring
0340,human,male,medium,4,muttonchops/headband/medical mask/3d glasses
0341,human,female,light,2,messy hair/earring
0342,human,female,light,2,bandana/regular shades
0343,human,male,light,2,police cap/shadow beard
0344,human,male,dark,1,beanie
0345,human,female,medium,2,tassle hat/earring
0346,human,male,medium,1,purple hair
0347,human,male,medium,2,horned rim glasses/knitted cap
0348,human,female,light,3,messy hair/rosy cheeks/nerd glasses
0349,human,male,dark,3,front beard dark/earring/mohawk dark
0350,human,female,medium,1,stringy hair
0351,human,male,light,3,purple hair/goat/mole
0352,human,female,medium,2,green eye shadow/straight hair
0353,human,female,light,2,bandana/green eye shadow
0354,human,male,albino,2,cigarette/police cap
0355,human,female,albino,4,wild white hair/black lipstick/gold chain/green eye shadow
0356,human,male,light,1,stringy hair
0357,human,female,dark,2,tassle hat/earring
0358,human,male,light,3,luxurious beard/mohawk/small shades
0359,human,female,albino,2,messy hair/hot lipstick
0360,human,male,medium,2,bandana/normal beard black
0361,human,male,medium,1,mohawk dark
0362,human,male,medium,3,eye mask/peak spike/shadow beard
0363,human,male,albino,3,shadow beard/nerd glasses/cowboy hat
0364,human,male,albino,2,normal beard black/hoodie
0365,human,male,light,2,normal beard/do-rag
0366,human,male,medium,3,eye mask/earring/mohawk
0367,human,male,dark,1,clown hair green
0368,human,female,medium,2,frumpy hair/purple lipstick
0369,human,male,light,3,luxurious beard/fedora/earring
0370,human,male,dark,4,cigarette/peak spike/rosy cheeks/small shades
0371,human,female,medium,1,frumpy hair
0372,ape,male,,1,cap forward
0373,human,male,dark,2,earring/headband
0374,human,female,dark,2,bandana/clown eyes blue
0375,human,female,light,2,green eye shadow/wild hair
0376,human,female,light,2,half shaved/nerd glasses
0377,human,male,albino,5,cigarette/earring/normal beard/headband/regular shades
0378,human,female,dark,2,frumpy hair/earring
0379,human,female,light,3,mohawk thin/purple lipstick/earring
0380,human,female,light,3,black lipstick/wild hair/earring
0381,human,female,light,2,knitted cap/purple lipstick
0382,human,female,light,2,pilot helmet/cigarette
0383,human,female,medium,2,green eye shadow/straight hair blonde
0384,human,female,medium,3,bandana/classic shades/purple lipstick
0385,human,female,medium,2,choker/wild hair
0386,human,male,medium,2,earring/do-rag
0387,human,male,medium,3,cap forward/gold chain/pipe
0388,human,female,medium,3,straight hair blonde/hot lipstick/clown eyes blue
0389,human,male,light,2,rosy cheeks/do-rag
0390,human,female,light,1,messy hair
0391,human,female,dark,3,eye mask/black lipstick/wild blonde
0392,human,male,medium,1,shaved head
0393,human,male,light,3,cigarette/cap forward/vr
0394,human,female,light,2,pink with hat/earring
0395,human,male,light,3,cap forward/earring/normal beard
0396,human,female,medium,1,straight hair blonde
0397,human,male,medium,1,cowboy hat
0398,human,male,dark,1,bandana
0399,human,male,dark,2,purple hair/small shades
0400,human,female,medium,3,purple eye shadow/purple lipstick/blonde bob
0401,human,male,dark,3,frumpy hair/earring/big beard
0402,human,male,dark,2,mohawk thin/front beard dark
0403,human,male,dark,2,classic shades/clown hair green
0404,human,female,light,3,orange side/silver chain/cigarette
0405,human,female,medium,1,messy hair
0406,human,male,dark,2,hoodie/nerd glasses
0407,human,female,light,3,wild blonde/purple lipstick/earring
0408,human,male,dark,1,cap forward
0409,human,female,light,2,knitted cap/black lipstick
0410,human,male,albino,2,headband/eye patch
0411,human,female,light,3,black lipstick/wild hair/clown eyes blue
0412,human,male,albino,3,purple hair/classic shades/earring
0413,human,female,albino,1,straight hair
0414,human,male,light,3,shadow beard/earring/top hat
0415,human,male,light,4,frown/police cap/small shades/mole
0416,human,male,dark,3,cigarette/hoodie/smile
0417,human,female,dark,1,straight hair dark
0418,human,female,dark,3,vape/wild white hair/black lipstick
0419,human,female,medium,2,bandana/earring
0420,human,male,albino,2,earring/crazy hair
0421,human,male,medium,2,front beard/wild hair
0422,human,female,light,4,purple eye shadow/dark hair/purple lipstick/earring
0423,human,male,dark,2,clown eyes blue/shaved head
0424,human,male,albino,3,hoodie/muttonchops/regular shades
0425,human,female,dark,3,messy hair/black lipstick/horned rim glasses
0426,human,male,dark,2,peak spike/big shades
0427,human,female,dark,1,messy hair
0428,human,female,dark,1,purple eye shadow
0429,human,male,medium,2,police cap/smile
0430,human,female,dark,3,dark hair/purple lipstick/earring
0431,human,female,dark,2,horned rim glasses/headband
0432,human,male,medium,3,cigarette/messy hair/earring
0433,human,male,medium,4,mohawk thin/earring/normal beard/regular shades
0434,human,male,albino,2,frumpy hair/eye mask
0435,human,male,medium,2,mohawk thin/muttonchops
0436,human,male,medium,1,medical mask
0437,human,male,light,3,front beard dark/crazy hair/eye patch
0438,human,female,medium,1,mohawk dark
0439,human,male,medium,2,shadow beard/knitted cap
0440,human,female,dark,2,black lipstick/blonde short
0441,human,male,dark,2,stringy hair/shadow beard
0442,human,male,light,2,front beard/cowboy hat
0443,human,female,dark,1,wild blonde
0444,human,male,dark,3,shadow beard/earring/do-rag
0445,human,female,dark,4,pipe/pilot helmet/purple lipstick/earring
0446,human,female,medium,3,straight hair blonde/cigarette/nerd glasses
0447,human,male,medium,2,stringy hair/big shades
0448,human,male,light,1,shaved head
0449,human,female,medium,3,straight hair/purple lipstick/cigarette
0450,human,male,medium,3,cigarette/fedora/small shades
0451,human,male,dark,1,do-rag
0452,human,male,albino,1,knitted cap
0453,human,male,medium,2,cap/buck teeth
0454,human,male,dark,3,messy hair/chinstrap/medical mask
0455,human,male,dark,3,luxurious beard/top hat/vr
0456,human,male,medium,4,mohawk thin/spots/earring/nerd glasses
0457,human,male,light,3,chinstrap/knitted cap/3d glasses
0458,human,male,dark,3,normal beard black/cap/earring
0459,human,male,dark,1,police cap
0460,human,female,light,5,black lipstick/choker/classic shades/earring/mohawk dark
0461,human,male,dark,2,knitted cap/smile
0462,human,male,dark,3,clown nose/cap forward/regular shades
0463,human,male,medium,2,bandana/vape
0464,human,female,dark,2,hot lipstick/mohawk dark
0465,human,male,light,3,hoodie/pipe/3d glasses
0466,human,female,medium,2,purple lipstick/blonde bob
0467,human,male,light,3,front beard/purple hair/classic shades
0468,human,male,dark,1,peak spike
0469,human,female,light,1,frumpy hair
0470,human,male,dark,3,big shades/knitted cap/mole
0471,human,female,dark,2,clown eyes green/stringy hair
0472,human,male,dark,3,wild hair/mustache/regular shades
0473,human,female,light,2,green eye shadow/straight hair dark
0474,human,female,dark,2,pigtails/cigarette
0475,human,female,albino,1,crazy hair
0476,human,male,medium,4,muttonchops/nerd glasses/pipe/mohawk
0477,human,female,medium,2,purple lipstick/mohawk dark
0478,human,male,dark,2,cigarette/peak spike
0479,human,female,light,2,regular shades/dark hair
0480,human,male,medium,3,chinstrap/earring/top hat
0481,human,female,light,2,wild hair/nerd glasses
0482,human,female,light,2,tassle hat/hot lipstick
0483,human,male,light,2,stringy hair/mustache
0484,human,male,dark,2,nerd glasses/knitted cap
0485,human,male,medium,4,earring/headband/3d glasses/big beard
0486,human,female,medium,2,straight hair blonde/hot lipstick
0487,human,male,dark,1,crazy hair
0488,human,female,medium,3,mole/half shaved/earring
0489,human,male,dark,2,classic shades/do-rag
0490,human,female,light,2,pigtails/earring
0491,human,female,light,3,blue eye shadow/hot lipstick/half shaved
0492,human,male,light,3,shadow beard/classic shades/shaved head
0493,human,female,dark,2,wild blonde/purple lipstick
0494,human,male,light,2,stringy hair/front beard dark
0495,human,male,dark,2,crazy hair/smile
0496,human,male,medium,4,normal beard black/cap/earring/small shades
0497,human,male,light,2,peak spike/mustache
0498,human,female,light,2,blonde short/earring
0499,human,female,light,3,welding goggles/straight hair blonde/cigarette
0500,human,female,medium,1,straight hair
0501,human,female,medium,2,pilot helmet/earring
0502,human,male,light,3,earring/normal beard/headband
0503,human,male,light,2,front beard dark/mohawk dark
0504,human,female,dark,3,black lipstick/pilot helmet/earring
0505,human,male,medium,2,normal beard/headband
0506,human,male,medium,2,messy hair/big shades
0507,human,female,medium,2,hot lipstick/dark hair
0508,human,male,medium,2,earring/knitted cap
0509,human,female,dark,2,regular shades/wild hair
0510,human,male,medium,0,none
0511,human,male,medium,2,bandana/mole
0512,human,male,dark,2,cigarette/hoodie
0513,human,male,light,1,knitted cap
0514,human,female,albino,3,straight hair/eye patch/hot lipstick
0515,human,male,albino,2,normal beard/mohawk dark
0516,human,male,medium,3,normal beard/3d glasses/cowboy hat
0517,human,male,medium,3,messy hair/goat/pipe
0518,human,male,medium,3,earring/vr/mohawk
0519,human,male,light,1,frumpy hair
0520,human,male,light,3,hoodie/handlebars/regular shades
0521,human,female,albino,1,blonde bob
0522,human,female,light,2,blonde bob/nerd glasses
0523,human,male,medium,2,stringy hair/smile
0524,human,male,dark,2,muttonchops/purple hair
0525,human,female,medium,4,silver chain/hot lipstick/earring/straight hair dark
0526,human,male,albino,2,vampire hair/mole
0527,human,female,light,3,straight hair blonde/hot lipstick/regular shades
0528,human,female,light,1,mohawk
0529,human,female,medium,1,headband
0530,human,female,medium,1,blonde bob
0531,human,male,dark,2,earring/knitted cap
0532,human,female,dark,1,mohawk dark
0533,human,male,light,2,peak spike/spots
0534,human,female,dark,2,pigtails/vr
0535,human,male,medium,3,mustache/knitted cap/mole
0536,human,male,dark,3,hoodie/horned rim glasses/normal beard
0537,human,female,dark,2,pink with hat/purple lipstick
0538,human,female,medium,3,knitted cap/green eye shadow/hot lipstick
0539,human,male,albino,3,mustache/vr/mohawk dark
0540,human,male,light,2,shadow beard/mohawk
0541,human,male,light,3,messy hair/front beard dark/nerd glasses
0542,human,male,medium,4,stringy hair/goat/medical mask/regular shades
0543,human,male,medium,3,stringy hair/mustache/earring
0544,human,male,medium,1,crazy hair
0545,human,female,dark,2,messy hair/vr
0546,human,male,medium,3,frown/headband/small shades
0547,human,female,medium,2,knitted cap/earring
0548,human,female,dark,2,black lipstick/frumpy hair
0549,human,male,albino,1,3d glasses
0550,human,male,medium,2,earring/top hat
0551,human,male,medium,2,peak spike/earring
0552,human,male,medium,3,front beard/vr/do-rag
0553,human,female,dark,2,wild hair/3d glasses
0554,human,female,dark,2,wild hair/purple lipstick
0555,human,male,dark,3,earring/horned rim glasses/mohawk
0556,human,male,dark,2,messy hair/shadow beard
0557,human,male,dark,3,normal beard black/crazy hair/small shades
0558,human,male,albino,2,earring/mohawk dark
0559,human,female,medium,1,mohawk thin
0560,human,female,medium,2,black lipstick/blonde bob
0561,human,male,medium,2,top hat/3d glasses
0562,human,male,medium,3,eye mask/cap/rosy cheeks
0563,human,female,light,4,pipe/vr/earring/straight hair dark
0564,human,male,dark,2,mohawk/big beard
0565,human,male,medium,1,shadow beard
0566,human,female,medium,1,wild hair
0567,human,male,dark,2,bandana/vr
0568,human,male,albino,2,peak spike/vr
0569,human,female,medium,2,knitted cap/black lipstick
0570,human,male,albino,3,cigarette/cap/muttonchops
0571,human,female,light,2,pigtails/purple lipstick
0572,human,male,dark,2,clown eyes blue/do-rag
0573,human,female,medium,3,mole/wild white hair/vr
0574,human,male,light,2,bandana/goat
0575,human,female,light,2,black lipstick/frumpy hair
0576,human,female,albino,2,tassle hat/black lipstick
0577,human,male,medium,2,cap/spots
0578,human,male,medium,2,front beard dark/fedora
0579,human,female,dark,2,straight hair blonde/earring
0580,human,female,dark,2,tassle hat/clown eyes green
0581,human,female,medium,3,blonde short/earring/cigarette
0582,human,male,dark,1,cap
0583,human,male,light,2,classic shades/do-rag
0584,human,female,dark,2,red mohawk/hot lipstick
0585,human,female,dark,2,pink with hat/earring
0586,human,female,light,2,purple eye shadow/wild hair
0587,human,male,light,2,earring/do-rag
0588,human,female,dark,5,tassle hat/big shades/black lipstick/earring/cigarette
0589,human,female,medium,4,mohawk/hot lipstick/regular shades/earring
0590,human,female,dark,2,classic shades/straight hair dark
0591,human,male,light,3,goat/shaved head/small shades
0592,human,male,dark,3,cigarette/purple hair/eye patch
0593,human,female,medium,3,tiara/earring/nerd glasses
0594,human,male,light,2,knitted cap/eye patch
0595,human,male,dark,2,headband/eye patch
